TIMESTAMP,ECG,MOVEMENT
120038,32343,0.735
120141,32551,0.346
120243,32407,0.52
120345,32503,1.791
120447,32615,2.278
120549,32503,0.589
120651,32567,0.434
120753,32455,0.371
120855,32503,1.854
120957,32439,2.253
121059,32695,0.726
121162,32423,0.351
121264,32583,0.14
121366,32519,2.699
121468,32503,2.289
121570,32423,0.643
121672,32471,0.217
121774,32567,0.511
121876,32407,2.595
121978,32455,2.254
122080,32311,0.871
122183,32487,0.323
122285,32407,0.741
122387,32407,1.152
122489,32647,1.14
122591,32647,0.9
122693,32615,1.239
122795,32647,1.141
122897,32343,1.132
122999,32439,0.869
123101,32423,0.908
123204,32727,1.057
123306,32391,1.049
123408,32519,0.898
123510,32535,1.053
123612,32455,0.971
123714,32599,1.11
123816,32551,0.797
123918,32471,1.397
124020,32263,0.994
124123,32471,1.023
124225,32471,1.02
124327,32295,1.069
124429,32439,0.979
124531,32487,0.956
124633,32423,0.961
124735,32615,1.051
124837,32439,1.066
124939,32423,0.943
125041,32567,0.917
125144,32535,1.055
125246,32583,1.006
125348,32503,1.019
125450,32567,1.028
125552,32599,1.011
125654,32615,1.019
125756,32439,1.024
125858,32343,0.992
125960,32519,1.011
126062,32615,1.028
126165,32519,1.041
126267,32423,1.011
126369,32727,1.015
126471,32567,1.017
126573,32487,1.019
126675,32952,1.003
126777,32615,1.008
126879,32407,1.033
126981,32535,0.996
127083,32599,1.02
127186,32535,1.093
127288,32535,1.02
127390,32471,1.039
127492,32487,0.925
127594,32663,0.924
127696,32311,0.994
127798,32535,0.958
127900,32455,1.118
128002,32471,1.064
128105,32519,0.987
128207,32567,1.048
128309,32551,0.997
128411,32471,1.025
128513,32407,1.037
128615,32535,1.012
128717,32583,0.996
128819,32679,1.003
128921,32487,0.998
129023,32535,0.991
129126,32471,0.998
129228,32583,1.011
129330,32471,1.083
129432,32471,1.058
129534,32471,0.935
129636,32455,0.96
129738,32535,1.136
129840,32663,0.981
129942,32535,1.094
130044,32487,1.02
130147,32599,1.012
130249,32471,1.027
130351,32535,1.025
130453,32535,1.044
130555,32311,1.035
130657,32455,1.008
130759,32487,1.025
130861,32519,1.026
130963,32567,1.015
131065,32519,0.998
131168,32904,1.004
131270,32471,1.008
131372,32567,1.02
131474,32455,1.019
131576,32311,1.014
131678,32487,1.005
131780,32968,1.015
131882,32519,1.023
131984,32471,1.017
132086,32407,1.006
132189,32567,1.013
132291,32567,1.015
132393,32936,1.011
132495,32551,1.023
132597,32423,1.013
132699,32407,1.006
132801,32455,1.022
132903,32583,1.016
133005,32519,1.016
133108,32615,1.014
133210,32423,1.049
133312,32455,1.016
133414,32263,1.024
133516,32551,1.01
133618,32583,1.013
133720,32583,1.016
133822,32439,1.034
133924,32487,1.015
134026,32423,1.015
