Timestamp_ms,Raw_ECG
1,34552
12,32679
22,33032
33,33352
43,33768
54,34216
64,33944
74,34376
85,34856
95,35096
106,35896
116,36776
126,37353
136,38393
147,39433
157,40393
168,41434
178,41434
188,41754
198,42522
208,39977
219,36488
229,33416
239,30663
249,29335
260,29367
270,28823
281,28502
291,28326
301,28775
312,28855
322,29495
332,29527
342,29767
353,30023
363,30055
374,30487
384,30535
394,30247
404,30423
414,30871
425,30679
435,30567
446,31463
456,31559
467,32583
477,33896
488,33480
498,32808
508,31511
519,30007
560,30263
571,30999
581,31127
592,31271
602,34888
613,48523
623,48475
633,13139
644,27782
654,34504
665,32904
675,33176
686,33272
696,33672
707,34312
717,34328
727,34760
738,35272
748,35320
759,36072
769,36680
780,37385
790,38281
801,39225
811,40073
821,40953
832,41946
842,42250
853,42234
863,39801
874,36120
884,32952
895,31047
905,29575
915,29255
925,28791
935,28855
946,28807
956,29335
967,29447
977,29831
988,29927
998,30295
1009,30343
1019,30743
1029,30967
1040,30871
1050,31111
1061,30887
1071,31047
1085,31015
1095,31287
1105,30919
1115,30999
1126,31335
1136,31191
1147,31255
1157,31191
1167,31543
1178,31831
1189,31703
1199,32663
1209,32711
1219,33608
1229,34312
1240,34728
1250,33672
1261,32391
1271,31319
1281,31575
1292,31879
1302,31559
1312,31719
1322,31783
1333,32151
1343,32055
1354,39385
1364,52300
1374,34184
1385,18100
1395,33016
1405,34536
1415,33736
1426,33864
1436,33880
1447,34200
1457,34584
1468,34904
1478,35096
1488,35608
1499,35720
1509,36200
1519,36873
1529,37577
1540,38105
1550,39017
1561,39977
1571,40553
1581,41194
1592,41706
1602,41370
1612,39993
1622,36680
1633,33800
1643,31335
1654,29895
1664,29351
1675,29031
1685,28759
1695,28967
1706,29159
1716,29463
1727,29367
1737,29735
1748,30055
1758,30423
1769,30167
1779,30455
1789,30967
1800,30631
1810,30471
1820,30919
1830,30775
1841,29991
1851,30967
1862,30263
1872,30631
1882,30487
1893,30599
1903,30919
1914,30727
1924,31063
1934,31847
1945,32792
1955,33480
1966,33704
1976,32984
1986,31191
1997,30631
2007,30551
2018,30647
2028,30695
2039,30375
2052,30807
2063,30791
2073,31703
2084,40953
2094,51980
2105,25286
2115,18612
2126,32792
2136,33384
2147,32904
2157,33288
2168,33848
2178,33656
2188,33976
2199,34360
2209,34472
2220,34840
2230,35368
2241,36424
2251,36488
2262,37289
2272,37977
2282,39273
2292,39609
2302,40617
2313,41098
2323,41306
2334,41002
2344,38537
2355,34904
2365,32151
2376,30295
2386,29575
2396,28646
2407,28438
2417,28679
2428,28759
2438,28839
2448,28791
2459,29367
2469,29351
2480,29879
2490,30519
2500,29815
2511,30295
2521,30295
2532,30279
2542,30823
2553,29767
2563,30615
2574,30887
2584,31063
2594,32535
2605,33000
2615,33544
2626,32135
2636,30407
2647,29607
2657,29783
2668,29943
2678,29879
2688,29735
2699,30471
2709,30119
2720,31799
2730,42042
2740,52284
2751,21189
2762,17844
2772,33448
2782,33224
2793,32439
2803,33352
2814,33256
2824,33864
2834,34488
2845,34264
2855,35080
2865,35256
2875,35112
2886,36360
2896,37065
2907,37449
2917,38953
2927,39721
2937,41098
2947,41194
2958,41818
2968,41962
2979,41242
2989,38185
3000,34088
3010,31943
3023,29863
3034,29447
3045,29031
3055,29015
3066,28839
3076,29079
3087,29543
3097,29479
3108,30215
3118,30471
3128,30455
3139,30743
3149,30391
3160,31239
3170,30999
3180,31335
3191,31495
3201,31543
3211,32487
3222,33496
3232,34312
3243,33384
3253,31911
3264,30455
3274,30023
3284,30535
3295,30423
3305,30487
3315,31159
3325,30983
3335,30775
3346,33128
3356,45323
3367,53965
3377,18276
3388,21253
3398,33672
3408,33000
3418,33448
3428,33752
3439,33384
3449,33640
3460,34248
3470,34408
3481,35096
3491,35080
3502,35864
3512,36488
3522,37161
3533,37929
3543,39209
3554,39529
3564,40970
3574,41482
3585,42298
3595,41738
3606,40489
3616,36696
3626,32856
3637,31527
3647,29719
3658,29303
3668,28582
3678,28422
3689,28646
3699,28775
3709,29351
3719,29543
3729,29703
3740,29703
3750,30311
3761,30631
3771,30487
3781,30919
3792,31111
3803,30903
3813,30919
3823,31223
3834,31031
3844,32167
3855,32311
3865,33176
3875,34184
3886,33688
3896,32663
3906,31143
3916,30423
3927,30743
3937,30743
3948,30679
3958,30759
3968,30855
3978,30999
3991,32679
4031,14291
4041,32679
4052,33864
4062,33480
4073,33592
4083,33368
4093,33864
4104,34632
4114,34472
4125,35112
4135,35768
4145,35896
4155,36568
4166,36760
4176,37913
4187,38585
4197,39609
4208,40953
4218,41450
4228,41738
4239,42378
4249,41530
4260,38473
4270,34648
4281,32215
4291,30327
4301,29751
4311,28999
4321,29127
4332,28775
4342,29287
4352,29271
4363,29495
4373,29767
4384,30039
4394,30359
4404,30343
4415,30807
4425,30855
4436,30663
4446,30807
4456,31127
4466,30903
4477,30887
4487,30631
4498,31031
4508,31063
4518,30887
4529,30919
4539,31703
4550,32583
4560,33240
4571,34072
4581,34536
4592,33384
4602,31815
4613,30903
4623,31191
4633,31367
4644,31559
4654,31223
4664,31687
4674,31639
4685,31815
4695,38025
4706,51356
4716,38761
4726,15795
4737,32647
4747,34504
4758,33752
4768,33896
4779,34120
4789,34216
4800,34872
4810,34920
4820,35128
4831,35672
4841,36024
4852,36552
4862,36856
4872,37593
4883,38377
4893,39273
4904,40089
4914,40809
4924,41114
4935,41818
4945,41530
4956,39369
4966,35752
4976,32792
4990,30439
5000,29367
5011,28999
5021,28807
5032,29031
5042,29575
5052,29911
5063,29671
5074,29719
5084,30391
5095,30599
5105,30359
5115,30631
5125,30503
5135,30599
5146,30567
5156,30855
5167,30647
5177,30487
5187,30599
5197,30791
5208,30519
5218,30823
5229,31159
5239,30903
5249,30759
5260,30823
5270,31527
5281,32263
5291,32487
5302,33928
5312,34200
5323,33032
5333,31447
5343,30983
5353,30871
5363,30839
5374,31047
5384,31319
5394,31255
5405,31175
5415,31159
5425,36296
5436,49452
5446,41434
5457,15635
5467,30023
5477,33976
5488,33384
5498,33544
5509,33512
5519,34136
5529,34280
5540,34776
5550,35208
5561,35096
5571,35304
5581,35784
5592,36680
5603,37097
5613,37801
5623,38873
5634,39113
5644,40233
5655,40505
5665,41498
5675,40953
5686,39369
5696,35944
5706,33304
5716,30791
5727,29751
5737,29543
5748,28871
5758,28679
5768,28454
5779,29063
5789,29159
5800,29319
5810,30103
5820,29687
5831,30327
5841,30295
5852,30135
5862,30551
5872,30679
5883,30631
5893,30519
5904,30743
5914,30407
5925,30631
5935,30823
5946,31303
5959,31767
5970,33416
5980,33704
5991,33192
6001,31623
6012,30167
6022,30471
6033,30615
6043,30183
6054,30503
6064,30679
6074,30679
6085,30119
6095,32824
